treat,x1,x2,x3,x4,x5,cont_out,bin_out
1,3.111368114,0.13979204,3.568671215,-0.615935909,-7.235725302,1.995505345,0
1,0.343914867,-1.710973807,3.19334944,-2.118295172,0.68589627,2.134163718,0
1,0.573719109,-2.805191176,0.837437143,-1.203072749,2.817345973,1.718319263,0
1,2.045243662,-1.4720855,1.422873405,-2.919956059,-3.0491833,4.809670733,1
1,-1.560282482,-0.148339505,0.193955832,-4.579445067,0.985716189,5.52261319,1
1,-2.870113542,-0.81193798,0.920081274,-4.679146679,-8.406729022,11.03127439,1
1,7.110004575,-1.53927284,3.39584788,-3.590516946,-2.153927355,1.072875022,0
1,-2.553045218,-1.942691669,-3.002338705,-3.397126043,0.829946941,7.655065577,1
1,1.820831014,0.548710529,8.355370879,1.41996305,0.259869772,-6.072503742,0
1,0.929028467,-1.023726146,-0.905221987,0.586142456,-1.222659498,1.714077495,0
1,-0.907022053,0.367702579,1.100986827,-2.601904275,-4.799835519,5.522187605,1
1,-5.825107438,-1.716116751,-2.496599473,-2.061964612,-2.988386974,9.630421339,1
1,-0.058963113,-0.724908392,2.292637179,-2.002955369,-4.693710852,4.561944638,1
1,1.55822114,-2.643617808,1.995812726,-0.758911462,-4.414340022,3.326080913,1
1,-4.712973139,-1.388866788,1.191716835,-2.750745424,-2.802517133,7.703756702,1
1,-3.1386366,-1.468422106,2.572507625,-2.349501276,-2.944772533,5.856828144,1
1,-2.17438192,1.021109237,2.327927072,-0.313217207,-4.084585911,2.809065424,1
1,-2.791479965,0.646106865,3.156839841,-4.005002363,-3.021433991,5.874894749,1
1,-3.037807548,-2.40736913,-0.180531236,0.144408732,-10.16066053,8.452552422,1
1,0.067140039,-1.637012573,0.405930007,-0.00270674,-2.39536147,2.681066283,1
1,-3.540067487,-5.320756401,2.562576965,-0.028781576,0.560281291,4.222285468,1
1,-0.28210093,1.971912194,0.374361585,-0.954708634,-8.217516573,4.784098558,1
1,-3.247354958,-2.089515618,3.521014095,-3.463826726,-0.848994399,6.295804777,1
1,2.47524809,0.629390587,2.212318115,-2.728080472,2.848285328,-0.19365437,0
1,1.78504646,0.185545244,-2.488764687,-3.409614186,-3.156326075,6.39801103,1
1,1.768500418,-3.365490428,0.673307536,-0.592406975,-4.71975992,4.494460966,1
1,-1.425332245,0.788004799,1.235259596,-0.934858372,-5.17208637,4.355453279,1
1,4.198416639,1.023258344,0.398070614,0.716108013,-0.88528986,-2.063938,0
1,-1.882107244,1.05226444,2.492358259,4.344797275,-2.930290512,-2.960439813,0
1,-0.152688353,-0.970400757,-0.267165984,0.058112333,-3.88067539,3.437506786,1
1,1.560562476,-0.607552092,0.621027204,-0.540597104,-0.937504521,0.985273195,0
1,1.832733375,-3.229591606,2.183288945,-1.572305725,-5.857683921,5.15386831,1
1,2.567432363,-0.611572539,3.495430424,-3.341833215,-2.110545214,3.272599346,1
1,2.502250896,-0.743349923,2.052489606,-1.187564493,-7.013163988,3.803305163,1
1,-3.753267833,-2.304006011,-0.01477684,-3.536090522,-1.889259916,8.341689755,1
1,3.657837998,-1.184681537,1.583949238,-1.818310672,-8.355695143,5.183101274,1
1,-1.302099931,0.291285926,0.947431576,-1.670726647,-1.644795338,3.681030646,1
1,2.057715866,0.690324717,1.611083531,-0.237018758,-4.237232827,1.254973418,0
1,3.182142165,-0.300857154,1.937463986,-1.366776119,-5.821755391,2.616863175,1
1,6.352843164,-0.850906893,1.463764496,-0.589472372,0.772413147,-2.396623968,0
1,-1.017275776,-0.415202443,3.19827379,-4.057653265,-4.122870126,6.69988342,1
1,0.644407959,-1.842416256,1.877680955,-1.613891367,0.698506556,2.329227373,0
1,-0.237641787,-4.02620812,1.477320029,-0.354366292,-6.553044616,5.86549142,1
1,-2.440672177,1.128680636,0.139524215,-1.466399297,-1.869152013,4.125055867,1
1,3.508251649,-2.630398536,1.182384602,-4.09969611,-6.350226773,7.316896102,1
1,4.539188308,-0.647967619,1.606473786,-1.039761666,-2.731120337,0.598716772,0
1,1.87283487,0.892168694,2.252090086,-1.477612464,-3.928106389,2.087649783,0
1,-0.503149932,-5.41380878,2.030229323,-1.918285687,-2.71892402,6.298853372,1
1,-3.332154055,-2.792858433,1.328833462,-0.646298316,-4.734310348,6.554090691,1
1,0.543403777,0.949509527,3.837483003,1.302956613,-0.366763713,-2.979468227,0
1,-1.61958967,-1.802134694,0.50359096,-6.457404183,-7.461925418,12.55242757,1
1,0.783016777,-2.291449997,4.394905226,-0.456242501,-4.364368161,2.228916218,0
1,-0.972504266,1.023117751,2.425673348,0.54928046,-7.569968379,2.476688108,0
1,1.060996422,0.474256685,3.587807974,-1.657120685,-0.202998619,0.118370013,0
1,3.594038828,-0.303584867,0.753370738,1.728244979,-1.402618384,-1.993793886,0
1,-2.678885862,0.386815842,3.250734626,-2.179504228,-4.426892779,4.76899661,1
1,-1.441474731,-0.726919317,-0.699600748,0.064760513,-5.511353939,5.160481609,1
1,2.440539628,-0.104482362,-1.610451288,-4.500881273,0.223502844,5.189436532,1
1,3.253450187,0.306568044,2.227481846,-1.214943994,-2.030686047,0.377678173,0
1,1.12363035,-1.897746915,3.951707631,-1.271027748,-3.852356163,2.534590365,1
1,0.421497804,-0.839070192,2.205349496,2.895388921,-9.436244377,1.630056272,0
1,-3.968056049,-1.122036746,0.999127327,-0.70253542,-5.323225102,6.140925458,1
1,-1.938459274,-1.044449477,-1.962790858,-0.487966293,1.41603487,3.348253418,1
1,-1.310977006,-1.614556531,3.926120518,-1.124613899,2.061217661,0.756678937,0
1,-0.502996838,-1.952607765,1.336606048,-4.35339979,0.336449856,5.20412217,1
1,0.979672714,-0.116393305,0.562317856,0.508939074,4.319392597,-2.763214627,0
1,0.312711421,-2.495961325,3.674882336,-0.262470749,-3.297078128,1.934217331,0
1,-2.72899959,0.376481855,2.345274166,0.108206676,-2.347551151,1.68307086,0
1,2.536183764,0.287297557,0.909112676,-0.303549643,-5.34305418,1.835767218,0
1,0.193812605,-0.532000445,1.698098922,-1.65811259,-3.224592502,3.920580582,1
1,0.021785244,-2.231643115,3.239507435,0.75676605,-4.334293444,1.783772821,0
1,3.88706865,-1.931650125,2.572547518,-3.949494288,-2.72056366,4.108468529,1
1,-2.146003545,-1.608333502,2.652518022,-0.588731422,-3.533229858,3.982162434,1
1,3.010394877,-2.956563319,6.130629578,-4.971045184,-3.505778542,4.577031864,1
1,-1.929094654,0.164874153,4.254244716,-4.850030379,-4.313830903,6.873714687,1
1,1.490216402,0.594904471,5.917431786,-2.909868595,-6.432517484,3.630355589,1
1,0.513773466,-0.281780298,3.961301802,-0.782272468,-5.022296279,2.437659909,0
1,0.042350932,-0.711962583,2.571268889,-3.036926861,-2.198187929,3.825350729,1
1,-1.963908676,0.39247136,-0.717723434,-0.323567776,-2.714507953,3.626639257,1
1,-1.234479798,-4.299345512,0.207193394,-1.815443982,-5.047849968,8.012292175,1
1,-5.363431484,-2.370985783,4.125296708,-0.107809041,-7.182067356,6.814858126,1
1,-2.728503309,0.508251449,3.555402102,2.307881723,0.330963313,-1.995706815,0
1,-1.445941211,-1.674569159,2.026438399,-0.524547179,-1.713121293,2.529122449,1
1,3.957161178,-0.212798321,4.598782697,-3.806411968,-2.727772814,2.090614823,0
1,-0.656319436,-3.36367535,1.282028754,-1.47199119,1.694129471,3.117441384,1
1,-0.675969181,-0.129708979,4.195935202,1.976581711,0.866444332,-3.021865135,0
1,2.011551503,-2.09129834,0.523661063,-0.23869518,-7.674757651,5.13399867,1
1,2.56976233,1.068062258,1.139488104,2.877034686,-1.829322052,-3.145194387,0
1,0.181462045,-2.545586733,8.137513701,-1.902163292,-0.2864707,0.398507119,0
1,1.272123578,-0.085119634,2.080487764,-4.30316062,-1.174395005,4.272348255,1
1,1.409421987,-3.381806536,3.298979518,-1.234358813,-5.207442602,4.36821263,1
1,-0.997418887,-1.537775865,3.878952537,-0.684304989,-4.591180301,3.444568142,1
1,-1.834810831,-2.290263341,3.190236299,-2.676295664,0.444513571,3.93061964,1
1,-3.718917346,-1.754156259,4.80020539,-5.966274331,-7.540911343,10.76412198,1
1,-1.882751439,-0.947970588,2.047615377,-0.090413879,-1.07561028,2.576985747,1
1,-4.91894092,-4.311236473,-0.1479352,-2.432762834,-0.710888967,8.358324632,1
1,-1.33483631,-3.276281253,-1.160828234,-4.828319586,-7.563923842,12.8337916,1
1,-1.082764245,-0.656014379,0.219576439,1.158784228,-5.280277527,2.927428913,1
1,3.032494265,-1.532772774,1.831181091,-2.007395254,1.753228061,0.498107787,0
1,-1.641168754,-2.230760126,3.793949421,-4.401624203,3.811877712,3.322013347,1
1,2.360717688,-1.721212817,-0.685797317,-1.409746442,0.072562256,2.150077374,0
1,0.367282046,-0.759025222,1.836697814,-3.493316045,-3.049755089,4.877713337,1
1,3.757686636,-0.265691283,0.252302169,-3.874082978,-4.827676437,5.529130661,1
1,2.049665039,-1.585892769,5.189461534,-0.948883227,-5.623081322,1.879968618,0
1,-0.712143376,-0.414921618,3.764559913,-5.350909928,-2.306719646,6.082534566,1
1,-1.098457259,-1.005055504,2.884096631,-0.976273952,-2.891081733,3.068818286,1
1,-1.358688814,0.835289186,4.923360865,0.4598547,0.44217369,-2.352945427,0
1,1.146691228,-1.46048184,4.430196233,-3.43081392,-1.296732493,3.094203795,1
1,-2.855511446,-2.683184562,-0.317514166,-3.523586268,0.857630155,7.042107845,1
1,1.069473596,-0.98867548,-4.666154663,1.533001427,-5.545599966,4.389539378,1
1,2.236859426,-1.261935571,1.355949528,-0.07747296,-2.495967139,0.55901737,0
1,-0.346774464,-1.160332433,4.194249418,-0.662289244,-5.073280523,2.901576318,1
1,-0.216552169,-0.935476903,-0.563580546,-1.097101533,-6.915656675,6.51007129,1
1,-0.913695602,-1.343663447,2.729311322,-4.016535185,-2.002476038,6.20352647,1
1,2.550856101,-2.716536959,-0.229889593,-1.735985615,-5.20600469,5.320784184,1
1,2.405675036,0.407494827,1.364707307,-3.952563947,-5.193384791,5.516982323,1
1,-2.889438409,-3.159550409,0.827982543,-1.630010887,-0.375144596,5.262966158,1
